Run,Points Evaluated,Binding ddG,Folding ddG
0,11,0.0,3.270871504441857
0,61,6.821210263296962e-13,1288.4288930003415
0,119,0.0,-3.0787864320605878
0,104,0.0,77.70259348137975
1,71,0.0,1.6099633808817544
1,48,0.0,377.74323537047235
1,119,0.0,-3.0787864320605878
1,116,0.0,-3.026585010226881
2,26,6.821210263296962e-13,2101.483980650372
2,101,0.0,-0.07389127671067396
2,119,0.0,-3.0787864320605878
2,116,0.0,-3.026585010226881
3,85,0.0,2.495218008761276
3,6,-3.410605131648481e-11,1100.5890404471163
3,119,0.0,-3.0787864320605878
3,116,0.0,-3.026585010226881
4,14,4.547473508864641e-13,11.29159435269421
4,3,5.9117155615240335e-12,0.47714941044055187
4,119,0.0,-3.0787864320605878
4,116,0.0,-3.026585010226881
